full_smiles,rejection
CO.CN/C(NCCSCC1=CSC(CN(C)C)=N1)=C[N+]([O-])=O,0.99
CO.CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0.7
CC(OCC)=O.OC(CCCCCCC/C=C/CCCCCCCC)=O,0.364
CC1=CC=CC=C1.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(CC(C(C)(C)C(C6=CC=CC=C6)(C)C)C7=CC=CC=C7)C8=CC=CC=C8,0.986
O.C(C(C(CO)O)O)O,0.9727
CC#N.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C)(C)C3=CC=CC=C3,0.892
CO.OC1=C([N+]([O-])=O)C=CC=C1Br,0.3
CO.C1N2CN3CN1CN(C2)C3,0.97
CC(O)C.O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-],-0.389085786
O.CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,0.9553
CC1=CC=CC=C1.C=C(C1=CC=CC=C1)CC(C)(C)C2=CC=CC=C2,0.548
CC(C)=O.CCC1=C(C2=CC=C(Cl)C=C2)C(N)=NC(N)=N1,0.50025325
CC(OCC)=O.CC1=CC(=CC(=C1)C)C,0.290337998
CO.C1=CC=C(C=C1)N,0.15
O.C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,0.9882
CC(C)=O.COC1=CC(C2=CC=CC(OC)=C2)=CC=C1,0.909239251
CO.CCOC1=CC=C(OCC)C=C1,0.56
O.C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,0.9464
CO.Nc1ccc(Br)cc1,0.1
N#CC.O=C(C1=CC=CC=C1)CBr,0.004182454
CO.OC1CCC2=C1C=CC=C2,0.8
